epNum,stepNum,posX,posZ,destX,destZ,action,reward
0,156,0,16,6,5,2,-2.44
0,157,-1,15,6,5,3,-2.94
0,158,0,16,6,5,2,-2.94
0,159,0,16,6,5,2,-2.94
0,160,0,14,6,5,1,1.52
0,161,1,14,6,5,0,-1.4000000000000001
0,162,1,13,6,5,1,1.18
0,163,1,14,6,5,2,-1.74
0,164,1,13,6,5,1,1.18
0,165,2,13,6,5,0,-1.74
0,166,2,14,6,5,2,-1.6600000000000001
0,167,1,14,6,5,3,-1.74
0,168,1,15,6,5,2,-1.82
0,169,2,15,6,5,0,-1.9000000000000001
0,170,3,15,6,5,0,-1.32
0,171,4,15,6,5,0,-1.24
0,172,4,14,6,5,1,1.8399999999999999
0,173,5,14,6,5,0,-1.08
0,174,5,15,6,5,2,-1.0
0,175,4,15,6,5,3,-1.58
0,176,5,15,6,5,0,-1.6600000000000001
0,177,6,15,6,5,0,-1.08
0,178,6,16,6,5,2,-1.96
0,179,6,16,6,5,2,-2.46
0,180,6,16,6,5,2,-2.46
0,181,6,14,6,5,1,2.0
0,182,7,14,6,5,0,-0.92
0,183,7,13,6,5,1,2.16
0,184,7,14,6,5,2,-1.26
0,185,7,15,6,5,2,-0.8400000000000001
0,186,8,15,6,5,0,-0.92
0,187,7,15,6,5,3,1.5
0,188,8,15,6,5,0,-1.42
0,189,8,14,6,5,1,-1.0
0,190,9,14,6,5,0,-0.92
0,191,9,15,6,5,2,-1.0
0,192,8,15,6,5,3,1.42
0,193,9,15,6,5,0,-1.5
0,194,9,16,6,5,2,-2.04
0,195,9,16,6,5,2,-2.54
0,196,10,15,6,5,0,-1.08
